nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0205] R=0.599 (std=1.133)  valid=1.000  uniq=0.500  div=0.592  kl=0.0902  clip=0.053  ev=-0.382  ent=0.034  curr=0.655  best=6.474  CC=C(F)CCNC(=O)CCO
[0210] R=0.596 (std=1.114)  valid=1.000  uniq=0.500  div=0.726  kl=0.0323  clip=0.022  ev=0.203  ent=0.033  curr=0.673  best=6.474  CC=C(F)CCNC(=O)CCO
[0215] R=0.441 (std=0.803)  valid=1.000  uniq=0.500  div=0.648  kl=0.0523  clip=0.134  ev=-0.091  ent=0.032  curr=0.691  best=6.474  CC=C(F)CCNC(=O)CCO
[0220] R=0.586 (std=1.074)  valid=1.000  uniq=0.500  div=0.740  kl=0.0518  clip=0.035  ev=-0.420  ent=0.030  curr=0.709  best=6.474  CC=C(F)CCNC(=O)CCO
[0225] R=0.558 (std=1.040)  valid=1.000  uniq=0.625  div=0.617  kl=0.0225  clip=0.024  ev=-0.875  ent=0.029  curr=0.727  best=6.474  CC=C(F)CCNC(=O)CCO
[0230] R=0.521 (std=0.998)  valid=1.000  uniq=0.375  div=0.490  kl=0.0306  clip=0.029  ev=0.067  ent=0.028  curr=0.745  best=6.474  CC=C(F)CCNC(=O)CCO
[0235] R=0.541 (std=0.995)  valid=1.000  uniq=0.625  div=0.745  kl=0.0087  clip=0.010  ev=0.037  ent=0.027  curr=0.764  best=6.474  CC=C(F)CCNC(=O)CCO
[0240] R=0.524 (std=0.969)  valid=1.000  uniq=0.500  div=0.752  kl=0.0007  clip=0.018  ev=-0.133  ent=0.025  curr=0.782  best=6.474  CC=C(F)CCNC(=O)CCO
[0245] R=0.518 (std=0.947)  valid=1.000  uniq=0.500  div=0.725  kl=0.0028  clip=0.010  ev=-0.058  ent=0.024  curr=0.800  best=6.474  CC=C(F)CCNC(=O)CCO
[0250] R=0.490 (std=0.914)  valid=1.000  uniq=0.625  div=0.695  kl=0.0072  clip=0.023  ev=-0.146  ent=0.023  curr=0.818  best=6.474  CC=C(F)CCNC(=O)CCO
[0255] R=0.497 (std=0.900)  valid=1.000  uniq=0.625  div=0.767  kl=0.0190  clip=0.033  ev=-0.030  ent=0.021  curr=0.836  best=6.474  CC=C(F)CCNC(=O)CCO
[0260] R=0.475 (std=0.860)  valid=1.000  uniq=0.500  div=0.621  kl=0.0295  clip=0.015  ev=-0.051  ent=0.020  curr=0.855  best=6.474  CC=C(F)CCNC(=O)CCO
[0265] R=0.439 (std=0.838)  valid=1.000  uniq=0.625  div=0.721  kl=0.0116  clip=0.030  ev=0.069  ent=0.019  curr=0.873  best=6.474  CC=C(F)CCNC(=O)CCO
[0270] R=0.435 (std=0.812)  valid=1.000  uniq=0.625  div=0.751  kl=0.0114  clip=0.026  ev=0.141  ent=0.018  curr=0.891  best=6.474  CC=C(F)CCNC(=O)CCO
[0275] R=0.211 (std=0.345)  valid=1.000  uniq=0.625  div=0.755  kl=0.0309  clip=0.024  ev=0.103  ent=0.016  curr=0.909  best=6.474  CC=C(F)CCNC(=O)CCO
[0280] R=0.400 (std=0.757)  valid=1.000  uniq=0.625  div=0.777  kl=0.0127  clip=0.038  ev=-0.170  ent=0.015  curr=0.927  best=6.474  CC=C(F)CCNC(=O)CCO
[0285] R=0.403 (std=0.737)  valid=1.000  uniq=0.500  div=0.688  kl=0.0141  clip=0.032  ev=-0.123  ent=0.014  curr=0.945  best=6.474  CC=C(F)CCNC(=O)CCO
[0290] R=0.400 (std=0.725)  valid=1.000  uniq=0.375  div=0.452  kl=0.0114  clip=0.021  ev=0.019  ent=0.013  curr=0.964  best=6.474  CC=C(F)CCNC(=O)CCO
[0295] R=-0.018 (std=0.309)  valid=1.000  uniq=0.875  div=0.902  kl=0.0140  clip=0.100  ev=-0.294  ent=0.011  curr=0.982  best=6.474  CC=C(F)CCNC(=O)CCO
[0300] R=-0.019 (std=0.330)  valid=1.000  uniq=1.000  div=0.929  kl=0.0121  clip=0.139  ev=-0.006  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0305] R=0.014 (std=0.377)  valid=1.000  uniq=1.000  div=0.933  kl=0.0184  clip=0.146  ev=-0.006  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0310] R=0.334 (std=0.655)  valid=1.000  uniq=0.625  div=0.624  kl=0.0143  clip=0.112  ev=0.189  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0315] R=0.379 (std=0.675)  valid=1.000  uniq=0.375  div=0.506  kl=0.0162  clip=0.020  ev=-0.786  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0320] R=0.181 (std=0.368)  valid=1.000  uniq=0.625  div=0.715  kl=0.0669  clip=0.178  ev=0.092  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0325] R=0.357 (std=0.642)  valid=1.000  uniq=0.375  div=0.686  kl=0.0416  clip=0.052  ev=-0.029  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0330] R=0.334 (std=0.652)  valid=1.000  uniq=0.625  div=0.725  kl=0.0168  clip=0.184  ev=0.270  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0335] R=0.346 (std=0.669)  valid=1.000  uniq=0.750  div=0.758  kl=0.0153  clip=0.064  ev=0.056  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0340] R=0.348 (std=0.645)  valid=1.000  uniq=0.750  div=0.794  kl=0.0462  clip=0.117  ev=-0.186  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0345] R=0.374 (std=0.673)  valid=1.000  uniq=0.625  div=0.771  kl=0.0087  clip=0.028  ev=-0.755  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0350] R=0.332 (std=0.654)  valid=1.000  uniq=0.625  div=0.703  kl=0.0197  clip=0.147  ev=-0.030  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0355] R=0.375 (std=0.672)  valid=1.000  uniq=0.625  div=0.725  kl=0.0230  clip=0.071  ev=0.047  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0360] R=0.313 (std=0.634)  valid=1.000  uniq=0.500  div=0.629  kl=0.0151  clip=0.045  ev=0.055  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0365] R=0.174 (std=0.546)  valid=1.000  uniq=0.875  div=0.877  kl=0.0247  clip=0.153  ev=0.004  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0370] R=0.322 (std=0.638)  valid=1.000  uniq=0.625  div=0.776  kl=0.0130  clip=0.026  ev=0.010  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0375] R=0.285 (std=0.606)  valid=1.000  uniq=0.750  div=0.731  kl=0.0335  clip=0.015  ev=-0.272  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0380] R=0.006 (std=0.385)  valid=1.000  uniq=1.000  div=0.928  kl=0.0131  clip=0.134  ev=-0.056  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0385] R=0.157 (std=0.542)  valid=1.000  uniq=0.750  div=0.767  kl=0.0150  clip=0.053  ev=-0.007  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0390] R=0.151 (std=0.206)  valid=1.000  uniq=0.500  div=0.688  kl=0.0493  clip=0.080  ev=0.061  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0395] R=0.277 (std=0.596)  valid=1.000  uniq=0.625  div=0.691  kl=0.0668  clip=0.026  ev=-0.164  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0400] R=0.089 (std=0.469)  valid=1.000  uniq=0.875  div=0.895  kl=0.0138  clip=0.137  ev=-0.205  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0405] R=0.304 (std=0.631)  valid=1.000  uniq=0.500  div=0.530  kl=0.0073  clip=0.017  ev=-0.098  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0410] R=0.287 (std=0.609)  valid=1.000  uniq=0.500  div=0.596  kl=0.0153  clip=0.065  ev=-4.171  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0415] R=0.148 (std=0.213)  valid=1.000  uniq=0.500  div=0.652  kl=0.0307  clip=0.029  ev=0.168  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0420] R=0.246 (std=0.603)  valid=1.000  uniq=0.750  div=0.711  kl=0.0144  clip=0.113  ev=-0.014  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0425] R=0.286 (std=0.764)  valid=1.000  uniq=0.500  div=0.655  kl=0.0539  clip=0.069  ev=-1.465  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0430] R=0.254 (std=0.702)  valid=1.000  uniq=0.625  div=0.649  kl=0.0557  clip=0.124  ev=-0.007  ent=0.010  curr=1.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0435] R=0.424 (std=1.569)  valid=1.000  uniq=0.750  div=0.687  kl=0.0145  clip=0.071  ev=0.003  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0440] R=0.583 (std=2.094)  valid=1.000  uniq=0.750  div=0.624  kl=0.0417  clip=0.047  ev=-0.061  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0445] R=0.256 (std=1.070)  valid=1.000  uniq=0.875  div=0.602  kl=0.0171  clip=0.093  ev=0.013  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0450] R=0.574 (std=2.086)  valid=1.000  uniq=1.000  div=0.740  kl=0.0502  clip=0.109  ev=0.058  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0455] R=0.603 (std=2.153)  valid=1.000  uniq=0.750  div=0.617  kl=0.0095  clip=0.031  ev=-0.030  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0460] R=0.184 (std=0.579)  valid=1.000  uniq=0.875  div=0.694  kl=0.0290  clip=0.112  ev=-0.044  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
