================================================================================
MOLECULAR RL EXPERIMENT LOG
Date: 2026-02-16 16:10:51
================================================================================

HYPERPARAMETERS:
--------------------
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 4
buffer_size         : 2048
hidden_dim          : 64
max_steps           : 30
input_feats         : 9
num_actions         : 8
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 300
--------------------

TRAINING PROGRESS:
Update   | Reward   | Valid %  | Unique % | Div    | KL       | ExpVar   | Best SMILES (Sample)
------------------------------------------------------------------------------------------------

[INFO]: Started training on cuda
485      | 0.572    | 100.00   | 100.00   | 0.94   | 0.0028   | 0.140    | O=CNC=CC(=C=NN=O)ON=O
490      | 0.621    | 100.00   | 87.50    | 0.92   | 0.0045   | 0.136    | C=CN
495      | 0.497    | 100.00   | 100.00   | 0.92   | 0.0047   | 0.096    | O=CON=CONO
500      | 0.450    | 100.00   | 75.00    | 0.90   | 0.0064   | 0.120    | C
505      | 0.560    | 100.00   | 62.50    | 0.84   | 0.0047   | 0.117    | C=O
510      | 0.502    | 100.00   | 75.00    | 0.88   | 0.0050   | 0.124    | C=NNOOOC=C=NNNNC=CN=NO
515      | 0.488    | 100.00   | 100.00   | 0.90   | 0.0019   | 0.132    | C=NOOC=O
520      | 0.347    | 100.00   | 50.00    | 0.79   | 0.0054   | 0.122    | CO
525      | 0.482    | 100.00   | 87.50    | 0.92   | 0.0036   | 0.136    | C
530      | 0.572    | 100.00   | 87.50    | 0.93   | 0.0076   | 0.105    | C=C=NO
535      | 0.550    | 100.00   | 100.00   | 0.91   | 0.0027   | 0.152    | CCOONCCN=NC=CONNCNNNNN=C=CO
540      | 0.585    | 100.00   | 62.50    | 0.84   | 0.0019   | 0.122    | NOON=CCOCNOON=NC(=O)NO
545      | 0.509    | 100.00   | 87.50    | 0.89   | 0.0126   | 0.137    | CCO
550      | 0.613    | 100.00   | 75.00    | 0.90   | 0.0044   | 0.110    | CNOC(COCNNNNOONN=O)=NOON=C=O
555      | 0.555    | 100.00   | 100.00   | 0.95   | 0.0033   | 0.150    | NOOCON=C=CCCCNOO
560      | 0.562    | 100.00   | 100.00   | 0.92   | 0.0077   | 0.112    | C=NO
565      | 0.556    | 100.00   | 75.00    | 0.90   | 0.0043   | 0.136    | CC
570      | 0.511    | 100.00   | 87.50    | 0.89   | 0.0024   | 0.132    | C
575      | 0.419    | 100.00   | 100.00   | 0.94   | 0.0035   | 0.116    | COC
580      | 0.428    | 100.00   | 87.50    | 0.91   | 0.0040   | 0.141    | CO
585      | 0.766    | 100.00   | 87.50    | 0.93   | 0.0073   | 0.108    | C=N
590      | 0.383    | 100.00   | 100.00   | 0.89   | 0.0067   | 0.137    | CC=C=CC=NNN=NOONC=C=NCN=C=NC=O
595      | 0.528    | 100.00   | 75.00    | 0.88   | 0.0051   | 0.133    | CN
600      | 0.732    | 100.00   | 100.00   | 0.96   | 0.0315   | 0.142    | CN
605      | 0.547    | 100.00   | 100.00   | 0.95   | 0.0020   | 0.134    | O=C=C=NNCOC=NC=O
610      | 0.694    | 100.00   | 100.00   | 0.97   | 0.0033   | 0.131    | CN
615      | 0.560    | 100.00   | 87.50    | 0.93   | 0.0026   | 0.161    | C=N
620      | 0.607    | 100.00   | 62.50    | 0.77   | 0.0041   | 0.132    | C
625      | 0.612    | 100.00   | 87.50    | 0.93   | 0.0035   | 0.138    | C=C=N
630      | 0.467    | 100.00   | 87.50    | 0.93   | 0.0055   | 0.137    | CN
635      | 0.488    | 100.00   | 100.00   | 0.94   | 0.0044   | 0.143    | C=NOO
640      | 0.515    | 100.00   | 100.00   | 0.94   | 0.0022   | 0.152    | C=NOOCN=NONON=C=NNN=O
645      | 0.572    | 100.00   | 75.00    | 0.85   | 0.0052   | 0.145    | C=NON=NNC=CC
650      | 0.444    | 100.00   | 75.00    | 0.88   | 0.0056   | 0.113    | COCNCNC=CNON=NN=O
655      | 0.724    | 100.00   | 100.00   | 0.94   | 0.0059   | 0.149    | N=CNN=C=O
660      | 0.535    | 100.00   | 100.00   | 0.94   | 0.0020   | 0.135    | C=NOCONNON=COOC=C=NNN
665      | 0.553    | 100.00   | 75.00    | 0.85   | 0.0061   | 0.149    | C
670      | 0.670    | 100.00   | 75.00    | 0.88   | 0.0109   | 0.132    | O=C=NC(=O)OOCC=C=NN=O
675      | 0.667    | 100.00   | 87.50    | 0.90   | 0.0321   | 0.147    | C=O
680      | 0.613    | 100.00   | 62.50    | 0.85   | 0.0035   | 0.150    | CNN
685      | 0.416    | 100.00   | 87.50    | 0.94   | 0.0034   | 0.105    | C
690      | 0.599    | 100.00   | 87.50    | 0.92   | 0.0065   | 0.127    | CO
695      | 0.562    | 100.00   | 87.50    | 0.90   | 0.0021   | 0.138    | CN
700      | 0.593    | 100.00   | 100.00   | 0.89   | 0.0026   | 0.164    | NC(=NN=NCOON=O)NCONC=CON=O
705      | 0.494    | 100.00   | 75.00    | 0.87   | 0.0061   | 0.130    | CN
710      | 0.421    | 100.00   | 87.50    | 0.93   | 0.0027   | 0.132    | C
715      | 0.566    | 100.00   | 87.50    | 0.93   | 0.0045   | 0.159    | C
720      | 0.470    | 100.00   | 87.50    | 0.93   | 0.0079   | 0.147    | O=C=NCOCC(=NON=O)N(O)N=O
725      | 0.517    | 100.00   | 50.00    | 0.64   | 0.0043   | 0.139    | C
730      | 0.694    | 100.00   | 100.00   | 0.96   | 0.0036   | 0.107    | O=COONNON=C=NC(=CN=O)N=O
735      | 0.606    | 100.00   | 100.00   | 0.93   | 0.0035   | 0.150    | CC=O
740      | 0.511    | 100.00   | 62.50    | 0.78   | 0.0072   | 0.147    | CO
745      | 0.509    | 100.00   | 87.50    | 0.94   | 0.0028   | 0.138    | N=NN=CNNONCCNCCN=CC=NCN=C=O
750      | 0.584    | 100.00   | 87.50    | 0.91   | 0.0056   | 0.106    | C=NO
755      | 0.531    | 100.00   | 87.50    | 0.92   | 0.0046   | 0.159    | C=NC
760      | 0.621    | 100.00   | 100.00   | 0.94   | 0.0034   | 0.125    | NNC=CN=CNNCCN=CO
765      | 0.634    | 100.00   | 87.50    | 0.93   | 0.0022   | 0.135    | CNN=NN=CN
770      | 0.571    | 100.00   | 100.00   | 0.93   | 0.0031   | 0.185    | COONC=NN=CNOC=CN=NOCOOCOON=NNO
775      | 0.638    | 100.00   | 87.50    | 0.90   | 0.0060   | 0.157    | C
780      | 0.355    | 100.00   | 100.00   | 0.94   | 0.0135   | 0.162    | C=NOO
785      | 0.594    | 100.00   | 75.00    | 0.85   | 0.0032   | 0.147    | C
790      | 0.474    | 100.00   | 87.50    | 0.92   | 0.0036   | 0.162    | COON=CCOC(=NONN=O)OCCOOC=NONC=O
795      | 0.399    | 100.00   | 100.00   | 0.95   | 0.0097   | 0.159    | CNNNOON=COC=CNC=CCCN=CN=C=COOC
800      | 0.508    | 100.00   | 62.50    | 0.84   | 0.0049   | 0.157    | C
805      | 0.553    | 100.00   | 100.00   | 0.93   | 0.0025   | 0.142    | N=NC(N=CNOCNCN=O)=NONC=NC=C=O
810      | 0.421    | 100.00   | 100.00   | 0.95   | 0.0065   | 0.167    | CN
815      | 0.438    | 100.00   | 87.50    | 0.91   | 0.0094   | 0.134    | CN
820      | 0.614    | 100.00   | 100.00   | 0.95   | 0.0030   | 0.158    | C=NN(N)N=C=CN=NC=NNNO
825      | 0.555    | 100.00   | 75.00    | 0.91   | 0.0116   | 0.176    | CC=N
830      | 0.620    | 100.00   | 75.00    | 0.86   | 0.0055   | 0.143    | C
835      | 0.675    | 100.00   | 100.00   | 0.94   | 0.0021   | 0.145    | C
840      | 0.656    | 100.00   | 100.00   | 0.94   | 0.0061   | 0.149    | C=NC=NCO
845      | 0.603    | 100.00   | 87.50    | 0.94   | 0.0059   | 0.152    | COC
850      | 0.543    | 100.00   | 87.50    | 0.90   | 0.0051   | 0.176    | C
855      | 0.665    | 100.00   | 87.50    | 0.92   | 0.0127   | 0.171    | NN=CCN=NNN=CCC=NOCCN=NNO
860      | 0.511    | 100.00   | 100.00   | 0.92   | 0.0041   | 0.156    | C=NOOCN=NC=CC=N
865      | 0.504    | 100.00   | 87.50    | 0.93   | 0.0051   | 0.136    | O=NN=C=NN=O
870      | 0.393    | 100.00   | 100.00   | 0.94   | 0.0068   | 0.119    | CC
875      | 0.455    | 100.00   | 100.00   | 0.91   | 0.0022   | 0.158    | C=NC=NN=NNOOONOOOCOC=C=C=NN=C=NOC
880      | 0.559    | 100.00   | 87.50    | 0.89   | 0.0028   | 0.161    | C=NC=NN=CN=NNCOC
885      | 0.617    | 100.00   | 87.50    | 0.93   | 0.0047   | 0.156    | C=CNON=CON=NC=NNNNOC(=NO)OCNC=NOON
890      | 0.556    | 100.00   | 87.50    | 0.92   | 0.0027   | 0.127    | C
895      | 0.503    | 100.00   | 87.50    | 0.93   | 0.0058   | 0.146    | N=CO
900      | 0.600    | 100.00   | 100.00   | 0.95   | 0.0040   | 0.148    | O=CO
905      | 0.529    | 100.00   | 75.00    | 0.87   | 0.0108   | 0.161    | C=C=N
910      | 0.441    | 100.00   | 100.00   | 0.94   | 0.0040   | 0.172    | NCCC=NOOCNN(N=O)C(=O)C=CNON
